た	3	\N	\Nt\N
だ	0	\N	\Nt\N
だ	1	\N	\Nt\N
だ	2	\N	\Nt\N
だ	3	\N	\Nt\N
だ	4	\N	\Nt\N
だ	5	\N	\Nt\N
ち	0	\N	\Nt\N
ち	1	\N	\Nt\N
ぢ	0	\N	\Nt\N
ぢ	1	\N	\Nt\N
ぢ	2	\N	\Nt\N
ぢ	3	\N	\Nt\N
っ	0	\N	\Nt\N
つ	0	\N	\Nt\N
づ	0	\N	\Nt\N
づ	1	\N	\Nt\N
づ	2	\N	\Nt\N
て	0	\N	\Nt\N
で	0	\N	\Nt\N
で	1	\N	\Nt\N
で	2	\N	\Nt\N
と	0	\N	\Nt\N
と	1	\N	\Nt\N
ど	0	\N	\Nt\N
ど	1	\N	\Nt\N
ど	2	\N	\Nt\N
ど	3	\N	\Nt\N
な	0	\N	\Nt\N
な	1	\N	\Nt\N
な	2	\N	\Nt\N
な	3	\N	\Nt\N
に	0	\N	\Nt\N
に	1	\N	\Nt\N
に	2	\N	\Nt\N
ぬ	0	\N	\Nt\N
ぬ	1	\N	\Nt\N
ね	0	\N	\Nt\N
ね	1	\N	\Nt\N
の	0	\N	\Nt\N
は	0	\N	\Nt\N
は	1	\N	\Nt\N
は	2	\N	\Nt\N
ば	0	\N	\Nt\N
ば	1	\N	\Nt\N
ば	2	\N	\Nt\N
ば	3	\N	\Nt\N
ば	4	\N	\Nt\N
ぱ	0	\N	\Nt\N
ぱ	1	\N	\Nt\N
ぱ	2	\N	\Nt\N
ぱ	3	\N	\Nt\N
ひ	0	\N	\Nt\N
び	0	\N	\Nt\N
び	1	\N	\Nt\N
び	2	\N	\Nt\N
ぴ	0	\N	\Nt\N
ぴ	1	\N	\Nt\N
ふ	0	\N	\Nt\N
ふ	1	\N	\Nt\N
ふ	2	\N	\Nt\N
ふ	3	\N	\Nt\N
ぶ	0	\N	\Nt\N
ぶ	1	\N	\Nt\N
ぶ	2	\N	\Nt\N
ぶ	3	\N	\Nt\N
ぶ	4	\N	\Nt\N
ぶ	5	\N	\Nt\N
ぷ	0	\N	\Nt\N
ぷ	1	\N	\Nt\N
ぷ	2	\N	\Nt\N
ぷ	3	\N	\Nt\N
ぷ	4	\N	\Nt\N
へ	0	\N	\Nt\N
べ	0	\N	\Nt\N
べ	1	\N	\Nt\N
べ	2	\N	\Nt\N
ぺ	0	\N	\Nt\N
ぺ	1	\N	\Nt\N
ほ	0	\N	\Nt\N
ほ	1	\N	\Nt\N
ほ	2	\N	\Nt\N
ほ	3	\N	\Nt\N
ぼ	0	\N	\Nt\N
ぼ	1	\N	\Nt\N
ぼ	2	\N	\Nt\N
ぼ	3	\N	\Nt\N
ぼ	4	\N	\Nt\N
ぼ	5	\N	\Nt\N
ぽ	0	\N	\Nt\N
ぽ	1	\N	\Nt\N
ぽ	2	\N	\Nt\N
ぽ	3	\N	\Nt\N
ぽ	4	\N	\Nt\N
ま	0	\N	\Nt\N
ま	1	\N	\Nt\N
ま	2	\N	\Nt\N
み	0	\N	\Nt\N
み	1	\N	\Nt\N
む	0	\N	\Nt\N
む	1	\N	\Nt\N
む	2	\N	\Nt\N
め	0	\N	\Nt\N
め	1	\N	\Nt\N
も	0	\N	\Nt\N
も	1	\N	\Nt\N
も	2	\N	\Nt\N
ゃ	0	\N	\Nt\N
ゃ	1	\N	\Nt\N
ゃ	2	\N	\Nt\N
や	0	\N	\Nt\N
や	1	\N	\Nt\N
や	2	\N	\Nt\N
ゅ	0	\N	\Nt\N
ゅ	1	\N	\Nt\N
ゆ	0	\N	\Nt\N
ゆ	1	\N	\Nt\N
ょ	0	\N	\Nt\N
ょ	1	\N	\Nt\N
よ	0	\N	\Nt\N
よ	1	\N	\Nt\N
ら	0	\N	\Nt\N
ら	1	\N	\Nt\N
り	0	\N	\Nt\N
り	1	\N	\Nt\N
る	0	\N	\Nt\N
れ	0	\N	\Nt\N
れ	1	\N	\Nt\N
ろ	0	\N	\Nt\N
ゎ	0	\N	\Nt\N
ゎ	1	\N	\Nt\N
わ	0	\N	\Nt\N
わ	1	\N	\Nt\N
ゐ	0	\N	\Nt\N
ゑ	0	\N	\Nt\N
を	0	\N	\Nt\N
を	1	\N	\Nt\N
を	2	\N	\Nt\N
ん	0	\N	\Nt\N
ゔ	0	\N	\Nt\N
ゔ	1	\N	\Nt\N
ゔ	2	\N	\Nt\N
ゔ	3	\N	\Nt\N
ゕ	0	\N	\Nt\N
ゕ	1	\N	\Nt\N
ゕ	2	\N	\Nt\N
ゖ	0	\N	\Nt\N
ゖ	1	\N	\Nt\N
ゖ	2	\N	\Nt\N
゛	0	\N	\Nt\N
゛	1	\N	\Nt\N
゜	0	\N	\Nt\N
ゝ	0	\N	\Nt\N
ゞ	0	\N	\Nt\N
ゞ	1	\N	\Nt\N
ゞ	2	\N	\Nt\N
ァ	0	\N	\Nt\N
ァ	1	\N	\Nt\N
ア	0	\N	\Nt\N
ア	1	\N	\Nt\N
ィ	0	\N	\Nt\N
ィ	1	\N	\Nt\N
イ	0	\N	\Nt\N
イ	1	\N	\Nt\N
ゥ	0	\N	\Nt\N
ゥ	1	\N	\Nt\N
ゥ	2	\N	\Nt\N
ウ	0	\N	\Nt\N
ウ	1	\N	\Nt\N
ウ	2	\N	\Nt\N
ェ	0	\N	\Nt\N
ェ	1	\N	\Nt\N
ェ	2	\N	\Nt\N
エ	0	\N	\Nt\N
エ	1	\N	\Nt\N
エ	2	\N	\Nt\N
ォ	0	\N	\Nt\N
ォ	1	\N	\Nt\N
ォ	2	\N	\Nt\N
オ	0	\N	\Nt\N
オ	1	\N	\Nt\N
オ	2	\N	\Nt\N
カ	0	\N	\Nt\N
カ	1	\N	\Nt\N
ガ	0	\N	\Nt\N
ガ	1	\N	\Nt\N
ガ	2	\N	\Nt\N
ガ	3	\N	\Nt\N
キ	0	\N	\Nt\N
キ	1	\N	\Nt\N
キ	2	\N	\Nt\N
ギ	0	\N	\Nt\N
ギ	1	\N	\Nt\N
ギ	2	\N	\Nt\N
ギ	3	\N	\Nt\N
ギ	4	\N	\Nt\N
ク	0	\N	\Nt\N
ク	1	\N	\Nt\N
グ	0	\N	\Nt\N
グ	1	\N	\Nt\N
グ	2	\N	\Nt\N
グ	3	\N	\Nt\N
ケ	0	\N	\Nt\N
ケ	1	\N	\Nt\N
ケ	2	\N	\Nt\N
ゲ	0	\N	\Nt\N
ゲ	1	\N	\Nt\N
ゲ	2	\N	\Nt\N
ゲ	3	\N	\Nt\N
ゲ	4	\N	\Nt\N
コ	0	\N	\Nt\N
コ	1	\N	\Nt\N
ゴ	0	\N	\Nt\N
ゴ	1	\N	\Nt\N
ゴ	2	\N	\Nt\N
ゴ	3	\N	\Nt\N
サ	0	\N	\Nt\N
サ	1	\N	\Nt\N
サ	2	\N	\Nt\N
ザ	0	\N	\Nt\N
ザ	1	\N	\Nt\N
ザ	2	\N	\Nt\N
ザ	3	\N	\Nt\N
ザ	4	\N	\Nt\N
シ	0	\N	\Nt\N
シ	1	\N	\Nt\N
シ	2	\N	\Nt\N
ジ	0	\N	\Nt\N
ジ	1	\N	\Nt\N
ジ	2	\N	\Nt\N
ジ	3	\N	\Nt\N
ジ	4	\N	\Nt\N
ス	0	\N	\Nt\N
ス	1	\N	\Nt\N
ズ	0	\N	\Nt\N
ズ	1	\N	\Nt\N
ズ	2	\N	\Nt\N
ズ	3	\N	\Nt\N
セ	0	\N	\Nt\N
セ	1	\N	\Nt\N
ゼ	0	\N	\Nt\N
ゼ	1	\N	\Nt\N
ゼ	2	\N	\Nt\N
ゼ	3	\N	\Nt\N
ソ	0	\N	\Nt\N
ソ	1	\N	\Nt\N
ゾ	0	\N	\Nt\N
ゾ	1	\N	\Nt\N
ゾ	2	\N	\Nt\N
ゾ	3	\N	\Nt\N
タ	0	\N	\Nt\N
タ	1	\N	\Nt\N
タ	2	\N	\Nt\N
ダ	0	\N	\Nt\N
ダ	1	\N	\Nt\N
ダ	2	\N	\Nt\N
ダ	3	\N	\Nt\N
